ExpID,Concentration,Time,Activity
1,0.005,20,-0.0162369720241361
2,0.005,40,0.0522216127262754
3,0.005,60,0.170707624794295
4,0.005,80,0.147010422380691
5,0.005,100,0.186505759736698
6,0.005,120,0.204936917169501
7,0.005,20,0.0232583653318705
8,0.005,40,0.136478332419089
9,0.005,60,0.107515085024685
10,0.005,80,0.154909489851892
11,0.005,100,0.168074602303895
12,0.005,120,0.278661546900713
13,0.005,20,-0.0136039495337356
14,0.005,40,0.0179923203510697
15,0.005,60,0.0811848601206802
16,0.005,80,0.125946242457488
17,0.005,100,0.112781130005485
18,0.005,120,0.147010422380691
19,0.01,20,0.0416895227646736
20,0.01,40,0.123313219967087
21,0.01,60,0.278661546900713
22,0.01,80,0.215469007131103
23,0.01,100,0.239166209544706
24,0.01,120,0.352386176631925
25,0.01,20,0.0469555677454745
26,0.01,40,0.123313219967087
27,0.01,60,0.186505759736698
28,0.01,80,0.268129456939111
29,0.01,100,0.352386176631925
30,0.01,120,0.394514536478332
31,0.01,20,0.0864509051014811
32,0.01,40,0.13911135490949
33,0.01,60,0.241799232035107
34,0.01,80,0.210202962150302
35,0.01,100,0.32078990674712
36,0.01,120,0.362918266593527
37,0.02,20,0.0969829950630828
38,0.02,40,0.189138782227098
39,0.02,60,0.376083379045529
40,0.02,80,0.581459133296763
41,0.02,100,0.586725178277564
42,0.02,120,0.807899067471201
43,0.02,20,0.191771804717499
44,0.02,40,0.789467910038398
45,0.02,60,0.420844761382337
46,0.02,80,0.56039495337356
47,0.02,100,0.62095447065277
48,0.02,120,0.715743280307186
49,0.02,20,0.110148107515085
50,0.02,40,0.32078990674712
51,0.02,60,0.426110806363138
52,0.02,80,0.49983543609435
53,0.02,100,0.536697750959956
54,0.02,120,0.8
55,0.05,20,0.2023038946791
56,0.05,40,0.713110257816785
57,0.05,60,0.868458584750411
58,0.05,80,1.26867800329128
59,0.05,100,1.48195282501371
60,0.05,120,1.62940208447614
61,0.05,20,0.183872737246297
62,0.05,40,0.615688425671969
63,0.05,60,0.639385628085573
64,0.05,80,1.21865057597367
65,0.05,100,1.28710916072408
66,0.05,120,1.46088864509051
67,0.05,20,0.294459681843116
68,0.05,40,0.570927043335162
69,0.05,60,0.894788809654416
70,0.05,80,1.09489851892485
71,0.05,100,1.3792649478881
72,0.05,120,1.61886999451454
73,0.1,20,0.307624794295118
74,0.1,40,0.805266044980801
75,0.1,60,1.12912781130005
76,0.1,80,1.70312671420735
77,0.1,100,1.9716950082282
78,0.1,120,2.34031815688426
79,0.1,20,0.31815688425672
80,0.1,40,0.815798134942403
81,0.1,60,1.22654964344487
82,0.1,80,1.72155787164015
83,0.1,100,1.93746571585299
84,0.1,120,2.33241908941306
85,0.1,20,0.426110806363138
86,0.1,40,0.855293472298409
87,0.1,60,1.26604498080088
88,0.1,80,1.88743828853538
89,0.1,100,2.13230938014262
90,0.1,120,2.50883159626988
91,0.2,20,0.481404278661547
92,0.2,40,1.17652221612726
93,0.2,60,1.81634668129457
94,0.2,80,4.36774547449259
95,0.2,100,3.15392210641799
96,0.2,120,3.68315962698848
97,0.2,20,0.468239166209545
98,0.2,40,1.19232035106967
99,0.2,60,1.82161272627537
100,0.2,80,2.56939111354909
101,0.2,100,3.33560065825562
102,0.2,120,4.00175534832693
103,0.2,20,0.38134942402633
104,0.2,40,1.08963247394405
105,0.2,60,1.71102578167855
106,0.2,80,2.45880416895228
107,0.2,100,3.01700493691717
108,0.2,120,3.68579264947888
109,0.5,20,0.628853538123971
110,0.5,40,1.65309928688974
111,0.5,60,2.97487657707076
112,0.5,80,3.95436094349973
113,0.5,100,5.08129456939111
114,0.5,120,6.11870543060889
115,0.5,20,0.73944048272079
116,0.5,40,1.70049369171695
117,0.5,60,2.73790455293472
118,0.5,80,3.66999451453648
119,0.5,100,5.07339550191991
120,0.5,120,6.04761382336808
121,0.5,20,0.805266044980801
122,0.5,40,1.87953922106418
123,0.5,60,3.05123422929237
124,0.5,80,3.89643444871092
125,0.5,100,5.08129456939111
126,0.5,120,6.2082281952825
127,1,20,0.85792649478881
128,1,40,2.19023587493143
129,1,60,3.42249040043884
130,1,80,4.87328579264948
131,1,100,6.31091607240812
132,1,120,7.49577619308832
133,1,20,0.647284695556774
134,1,40,2.08228195282501
135,1,60,3.42249040043884
136,1,80,4.89698299506308
137,1,100,6.31354909489852
138,1,120,7.79594075699397
139,1,20,0.847394404827208
140,1,40,2.33241908941306
141,1,60,3.57520570488206
142,1,80,5.55523861766319
143,1,100,6.53208996160176
144,1,120,8.26461876028525
145,2,20,1.00274273176083
146,2,40,2.73527153044432
147,2,60,4.14920460778936
148,2,80,5.50784421283598
149,2,100,7.16401535929786
150,2,120,8.85441579813494
151,2,20,1.02380691168404
152,2,40,2.56675809105869
153,2,60,4.28875479978058
154,2,80,6.09237520570488
155,2,100,7.36412506856829
156,2,120,8.91497531541415
157,2,20,1.09489851892485
158,2,40,2.77476686780033
159,2,60,4.33088315962699
160,2,80,5.6236972024136
161,2,100,7.74591332967636
162,2,120,9.12561711464619
163,4,20,1.13702687877126
164,4,40,2.46407021393308
165,4,60,3.61206801974767
166,4,80,4.80219418540867
167,4,100,6.10554031815688
168,4,120,7.10082281952825
169,4,20,1.02117388919364
170,4,40,2.35348326933626
171,4,60,3.67262753702688
172,4,80,5.17608337904553
173,4,100,6.16609983543609
174,4,120,7.3878222709819
175,4,20,1.09226549643445
176,4,40,2.39561162918267
177,4,60,3.60416895227647
178,4,80,4.69950630828305
179,4,100,6.01338453099287
180,4,120,7.21667580910587
