Hitachi_ID,Exp_ID,Time_s,Group,Join_bg,Join_sa,FLAG
1,1,120,A,1,1,NA
2,2,240,A,1,1,NA
3,3,360,A,1,1,NA
4,4,480,A,1,1,NA
5,5,600,A,1,1,NA
6,6,720,A,1,1,NA
7,7,840,A,1,1,NA
8,8,960,A,1,1,NA
9,9,1080,A,1,1,NA
10,10,1200,A,1,1,NA
11,11,1320,A,1,1,NA
12,12,1440,A,1,1,NA
13,13,1560,A,1,1,NA
14,14,120,B,1,1,NA
15,15,240,B,1,1,NA
16,16,360,B,1,1,NA
17,17,480,B,1,1,NA
18,18,600,B,1,1,NA
19,19,720,B,1,1,NA
20,20,840,B,1,1,NA
21,21,960,B,1,1,NA
22,22,1080,B,1,1,NA
23,23,1200,B,1,1,NA
24,24,1320,B,1,1,NA
25,25,1440,B,1,1,NA
26,26,1560,B,1,1,NA
27,27,120,C,1,1,NA
28,28,240,C,1,1,NA
29,29,360,C,1,1,NA
30,30,480,C,1,1,NA
31,31,600,C,1,1,NA
32,32,720,C,1,1,NA
33,33,840,C,1,1,NA
34,34,960,C,1,1,NA
35,35,1080,C,1,1,NA
36,36,1200,C,1,1,NA
37,37,1320,C,1,1,NA
38,38,1440,C,1,1,NA
39,39,1560,C,1,1,NA
40,40,120,D,1,1,NA
41,41,240,D,1,1,NA
42,42,360,D,1,1,NA
43,43,480,D,1,1,NA
44,44,600,D,1,1,NA
45,45,720,D,1,1,NA
46,46,840,D,1,1,NA
47,47,960,D,1,1,NA
48,48,1080,D,1,1,NA
49,49,1200,D,1,1,NA
50,50,1320,D,1,1,NA
51,51,1440,D,1,1,NA
52,52,1560,D,1,1,NA
53,53,120,E,1,1,NA
54,54,240,E,1,1,NA
55,55,360,E,1,1,NA
56,56,480,E,1,1,NA
57,57,600,E,1,1,NA
58,58,720,E,1,1,NA
59,59,840,E,1,1,NA
60,60,960,E,1,1,NA
61,61,1080,E,1,1,NA
62,62,1200,E,1,1,NA
63,63,1320,E,1,1,NA
64,64,1440,E,1,1,NA
65,65,1560,E,1,1,NA
66,66,120,F,1,1,NA
67,67,240,F,1,1,NA
68,68,360,F,1,1,NA
69,69,480,F,1,1,NA
70,70,600,F,1,1,NA
71,71,720,F,1,1,NA
72,72,840,F,1,1,NA
73,73,960,F,1,1,NA
74,74,1080,F,1,1,NA
75,75,1200,F,1,1,NA
76,76,1320,F,1,1,NA
77,77,1440,F,1,1,NA
78,78,1560,F,1,1,NA
79,79,120,G,1,1,NA
80,80,240,G,1,1,NA
81,81,360,G,1,1,NA
82,82,480,G,1,1,NA
83,83,600,G,1,1,NA
84,84,720,G,1,1,NA
85,85,840,G,1,1,NA
86,86,960,G,1,1,NA
87,87,1080,G,1,1,NA
88,88,1200,G,1,1,NA
89,89,1320,G,1,1,NA
90,90,1440,G,1,1,NA
91,91,1560,G,1,1,NA
92,92,120,H,1,1,NA
93,93,240,H,1,1,NA
94,94,360,H,1,1,NA
95,95,480,H,1,1,NA
96,96,600,H,1,1,NA
97,97,720,H,1,1,NA
98,98,840,H,1,1,NA
99,99,960,H,1,1,NA
100,100,1080,H,1,1,NA
101,101,1200,H,1,1,NA
102,102,1320,H,1,1,NA
103,103,1440,H,1,1,NA
104,104,1560,H,1,1,NA
105,105,120,I,1,1,NA
106,106,240,I,1,1,NA
107,107,360,I,1,1,NA
108,108,480,I,1,1,NA
109,109,600,I,1,1,NA
110,110,720,I,1,1,NA
111,111,840,I,1,1,NA
112,112,960,I,1,1,NA
113,113,1080,I,1,1,NA
114,114,1200,I,1,1,NA
115,115,1320,I,1,1,NA
116,116,1440,I,1,1,NA
117,117,1560,I,1,1,NA
118,118,120,J,1,1,NA
119,119,240,J,1,1,NA
120,120,360,J,1,1,NA
121,121,480,J,1,1,NA
122,122,600,J,1,1,NA
123,123,720,J,1,1,NA
124,124,840,J,1,1,NA
125,125,960,J,1,1,NA
126,126,1080,J,1,1,NA
127,127,1200,J,1,1,NA
128,128,1320,J,1,1,NA
129,129,1440,J,1,1,NA
130,130,1560,J,1,1,NA
131,131,120,K,1,1,NA
132,132,240,K,1,1,NA
133,133,360,K,1,1,NA
134,134,480,K,1,1,NA
135,135,600,K,1,1,NA
136,136,720,K,1,1,NA
137,137,840,K,1,1,NA
138,138,960,K,1,1,NA
139,139,1080,K,1,1,NA
140,140,1200,K,1,1,NA
141,141,1320,K,1,1,NA
142,142,1440,K,1,1,NA
143,143,1560,K,1,1,NA
144,144,120,L,1,1,NA
145,145,240,L,1,1,NA
146,146,360,L,1,1,NA
147,147,480,L,1,1,NA
148,148,600,L,1,1,NA
149,149,720,L,1,1,NA
150,150,840,L,1,1,NA
151,151,960,L,1,1,NA
152,152,1080,L,1,1,NA
153,153,1200,L,1,1,NA
154,154,1320,L,1,1,NA
155,155,1440,L,1,1,NA
156,156,1560,L,1,1,NA
157,157,3600,sa,1,1,NA
158,158,3600,sa,1,1,NA
159,159,3600,sa,1,1,NA
160,160,3600,sa,1,1,NA
161,161,3600,sa,1,1,NA
162,162,3600,sa,1,1,NA
163,163,3600,bg,1,1,NA
164,164,3600,bg,1,1,NA
165,165,3600,bg,1,1,NA
166,166,3600,bg,1,1,NA
167,167,3600,bg,1,1,NA
168,168,3600,bg,1,1,NA
169,169,480,M,1,1,NA
170,170,480,N,1,1,NA
171,171,480,O,1,1,NA
172,172,480,P,1,1,NA
173,173,480,Q,1,1,NA
